V3	V5
GRMZM2G122941	"Zm00001eb414870,Zm00001eb414880,Zm00001eb414890"
GRMZM5G858232	"Zm00001eb414870,Zm00001eb414880,Zm00001eb414890"
GRMZM5G885714	"Zm00001eb414870,Zm00001eb414880,Zm00001eb414890"
GRMZM2G153275	"Zm00001eb083900,Zm00001eb083890,Zm00001eb083880,Zm00001eb083930"
AC226327.2_FG004	"Zm00001eb083900,Zm00001eb083890,Zm00001eb083880,Zm00001eb083930"
GRMZM2G373738	"Zm00001eb083900,Zm00001eb083890,Zm00001eb083880,Zm00001eb083930"
GRMZM2G056996	"Zm00001eb083900,Zm00001eb083890,Zm00001eb083880,Zm00001eb083930"
GRMZM2G089461	"Zm00001eb290810,Zm00001eb290800,Zm00001eb290830,Zm00001eb290840,Zm00001eb290820,Zm00001eb290850,Zm00001eb290870"
GRMZM2G459224	"Zm00001eb290810,Zm00001eb290800,Zm00001eb290830,Zm00001eb290840,Zm00001eb290820,Zm00001eb290850,Zm00001eb290870"
GRMZM2G160685	"Zm00001eb290810,Zm00001eb290800,Zm00001eb290830,Zm00001eb290840,Zm00001eb290820,Zm00001eb290850,Zm00001eb290870"
AC152495.1_FG010	Zm00001eb405880
AC152495.1_FG011	Zm00001eb405880
AC152495.1_FG012	Zm00001eb405880
AC152495.1_FG013	Zm00001eb405880
AC152495.1_FG015	Zm00001eb405880
AC152495.1_FG017	Zm00001eb405880
GRMZM5G879178	Zm00001eb405880
GRMZM2G069382	Zm00001eb405880
GRMZM2G083246	Zm00001eb405880
GRMZM2G702283	Zm00001eb405880
GRMZM2G083258	Zm00001eb405880
AC204381.3_FG001	"Zm00001eb151800,Zm00001eb151810,Zm00001eb151820,Zm00001eb151850,Zm00001eb151860"
GRMZM2G172891	"Zm00001eb151800,Zm00001eb151810,Zm00001eb151820,Zm00001eb151850,Zm00001eb151860"
GRMZM5G838938	"Zm00001eb151800,Zm00001eb151810,Zm00001eb151820,Zm00001eb151850,Zm00001eb151860"
GRMZM2G702094	"Zm00001eb151800,Zm00001eb151810,Zm00001eb151820,Zm00001eb151850,Zm00001eb151860"
GRMZM2G045128	"Zm00001eb151800,Zm00001eb151810,Zm00001eb151820,Zm00001eb151850,Zm00001eb151860"
GRMZM2G020865	"Zm00001eb151800,Zm00001eb151810,Zm00001eb151820,Zm00001eb151850,Zm00001eb151860"
GRMZM5G876242	"Zm00001eb151800,Zm00001eb151810,Zm00001eb151820,Zm00001eb151850,Zm00001eb151860"
AC207767.2_FG001	"Zm00001eb151800,Zm00001eb151810,Zm00001eb151820,Zm00001eb151850,Zm00001eb151860"
AC234199.1_FG003	Zm00001eb126710
AC204300.3_FG003	Zm00001eb126710
GRMZM2G425747	Zm00001eb126710
GRMZM2G425751	Zm00001eb126710
GRMZM2G464523	Zm00001eb126710
GRMZM2G303661	Zm00001eb126710
AC204300.3_FG009	Zm00001eb126710
GRMZM2G004593	Zm00001eb126710
GRMZM2G018974	"Zm00001eb065260,Zm00001eb114480,Zm00001eb114460,Zm00001eb114470,Zm00001eb114500,Zm00001eb114490"
GRMZM2G053713	"Zm00001eb065260,Zm00001eb114480,Zm00001eb114460,Zm00001eb114470,Zm00001eb114500,Zm00001eb114490"
GRMZM2G318412	"Zm00001eb065260,Zm00001eb114480,Zm00001eb114460,Zm00001eb114470,Zm00001eb114500,Zm00001eb114490"
GRMZM2G450166	"Zm00001eb065260,Zm00001eb114480,Zm00001eb114460,Zm00001eb114470,Zm00001eb114500,Zm00001eb114490"
GRMZM2G161625	Zm00001eb240590
GRMZM2G327662	Zm00001eb240590
GRMZM5G882980	Zm00001eb240590
GRMZM2G701918	Zm00001eb240590
GRMZM2G151344	Zm00001eb240590
GRMZM2G151332	Zm00001eb240590
GRMZM2G042677	"Zm00001eb096400,Zm00001eb096430,Zm00001eb096440,Zm00001eb096420,Zm00001eb096450,Zm00001eb096410"
GRMZM2G070761	"Zm00001eb096400,Zm00001eb096430,Zm00001eb096440,Zm00001eb096420,Zm00001eb096450,Zm00001eb096410"
GRMZM5G899386	"Zm00001eb096400,Zm00001eb096430,Zm00001eb096440,Zm00001eb096420,Zm00001eb096450,Zm00001eb096410"
GRMZM2G044472	"Zm00001eb096400,Zm00001eb096430,Zm00001eb096440,Zm00001eb096420,Zm00001eb096450,Zm00001eb096410"
GRMZM5G810756	"Zm00001eb096400,Zm00001eb096430,Zm00001eb096440,Zm00001eb096420,Zm00001eb096450,Zm00001eb096410"
GRMZM2G437004	"Zm00001eb115560,Zm00001eb115620,Zm00001eb115630,Zm00001eb115600"
GRMZM2G360494	"Zm00001eb115560,Zm00001eb115620,Zm00001eb115630,Zm00001eb115600"
GRMZM2G040039	"Zm00001eb115560,Zm00001eb115620,Zm00001eb115630,Zm00001eb115600"
GRMZM2G039974	"Zm00001eb115560,Zm00001eb115620,Zm00001eb115630,Zm00001eb115600"
GRMZM2G001777	"Zm00001eb115560,Zm00001eb115620,Zm00001eb115630,Zm00001eb115600"
GRMZM2G121579	"Zm00001eb327590,Zm00001eb327640,Zm00001eb327620,Zm00001eb327610,Zm00001eb327690,Zm00001eb327600,Zm00001eb327660"
GRMZM2G048806	"Zm00001eb327590,Zm00001eb327640,Zm00001eb327620,Zm00001eb327610,Zm00001eb327690,Zm00001eb327600,Zm00001eb327660"
GRMZM2G048846	"Zm00001eb327590,Zm00001eb327640,Zm00001eb327620,Zm00001eb327610,Zm00001eb327690,Zm00001eb327600,Zm00001eb327660"
GRMZM2G049296	"Zm00001eb327590,Zm00001eb327640,Zm00001eb327620,Zm00001eb327610,Zm00001eb327690,Zm00001eb327600,Zm00001eb327660"
GRMZM2G109843	"Zm00001eb327590,Zm00001eb327640,Zm00001eb327620,Zm00001eb327610,Zm00001eb327690,Zm00001eb327600,Zm00001eb327660"
GRMZM2G467497	Zm00001eb354180
GRMZM2G381129	Zm00001eb354180
GRMZM2G078509	Zm00001eb243430
GRMZM2G144283	Zm00001eb243430
GRMZM2G000269	Zm00001eb243430
GRMZM2G121631	"Zm00001eb175340,Zm00001eb175350,Zm00001eb175360,Zm00001eb175330,Zm00001eb175370"
GRMZM2G139431	"Zm00001eb175340,Zm00001eb175350,Zm00001eb175360,Zm00001eb175330,Zm00001eb175370"
GRMZM2G139478	"Zm00001eb175340,Zm00001eb175350,Zm00001eb175360,Zm00001eb175330,Zm00001eb175370"
GRMZM2G139513	"Zm00001eb175340,Zm00001eb175350,Zm00001eb175360,Zm00001eb175330,Zm00001eb175370"
GRMZM2G139517	"Zm00001eb175340,Zm00001eb175350,Zm00001eb175360,Zm00001eb175330,Zm00001eb175370"
GRMZM5G868423	"Zm00001eb175340,Zm00001eb175350,Zm00001eb175360,Zm00001eb175330,Zm00001eb175370"
AC207080.3_FG005	"Zm00001eb247930,Zm00001eb254710,Zm00001eb247950,Zm00001eb247960,Zm00001eb247970,Zm00001eb247940,Zm00001eb247980,Zm00001eb254660,Zm00001eb254780"
GRMZM2G153725	"Zm00001eb247930,Zm00001eb254710,Zm00001eb247950,Zm00001eb247960,Zm00001eb247970,Zm00001eb247940,Zm00001eb247980,Zm00001eb254660,Zm00001eb254780"
GRMZM2G026229	"Zm00001eb298860,Zm00001eb298890,Zm00001eb298900,Zm00001eb298910,Zm00001eb298920,Zm00001eb298880"
GRMZM2G101513	"Zm00001eb298860,Zm00001eb298890,Zm00001eb298900,Zm00001eb298910,Zm00001eb298920,Zm00001eb298880"
GRMZM2G101527	"Zm00001eb298860,Zm00001eb298890,Zm00001eb298900,Zm00001eb298910,Zm00001eb298920,Zm00001eb298880"
AC199624.4_FG007	"Zm00001eb298860,Zm00001eb298890,Zm00001eb298900,Zm00001eb298910,Zm00001eb298920,Zm00001eb298880"
GRMZM2G403407	"Zm00001eb298860,Zm00001eb298890,Zm00001eb298900,Zm00001eb298910,Zm00001eb298920,Zm00001eb298880"
GRMZM2G101545	"Zm00001eb298860,Zm00001eb298890,Zm00001eb298900,Zm00001eb298910,Zm00001eb298920,Zm00001eb298880"
GRMZM2G075096	"Zm00001eb254630,Zm00001eb254640,Zm00001eb254670"
GRMZM2G702235	"Zm00001eb254630,Zm00001eb254640,Zm00001eb254670"
GRMZM5G855124	"Zm00001eb254810,Zm00001eb254800,Zm00001eb254720,Zm00001eb254740,Zm00001eb254730"
GRMZM2G702239	"Zm00001eb254810,Zm00001eb254800,Zm00001eb254720,Zm00001eb254740,Zm00001eb254730"
GRMZM2G152793	"Zm00001eb328930,Zm00001eb256030,Zm00001eb256020"
GRMZM2G152801	"Zm00001eb328930,Zm00001eb256030,Zm00001eb256020"
GRMZM2G152827	"Zm00001eb328930,Zm00001eb256030,Zm00001eb256020"
GRMZM2G015401	"Zm00001eb328930,Zm00001eb256030,Zm00001eb256020"
GRMZM2G129133	"Zm00001eb430340,Zm00001eb430330,Zm00001eb430320,Zm00001eb430300,Zm00001eb430310,Zm00001eb430290,Zm00001eb430250"
GRMZM2G129147	"Zm00001eb430340,Zm00001eb430330,Zm00001eb430320,Zm00001eb430300,Zm00001eb430310,Zm00001eb430290,Zm00001eb430250"
GRMZM2G129169	"Zm00001eb430340,Zm00001eb430330,Zm00001eb430320,Zm00001eb430300,Zm00001eb430310,Zm00001eb430290,Zm00001eb430250"
GRMZM2G109753	"Zm00001eb430340,Zm00001eb430330,Zm00001eb430320,Zm00001eb430300,Zm00001eb430310,Zm00001eb430290,Zm00001eb430250"
GRMZM2G132678	Zm00001eb125070
GRMZM2G071664	Zm00001eb125070
GRMZM2G071666	Zm00001eb125070
GRMZM2G302002	Zm00001eb125070
GRMZM2G107211	Zm00001eb125070
GRMZM2G110952	"Zm00001eb211900,Zm00001eb211910,Zm00001eb211920,Zm00001eb211930,Zm00001eb211940,Zm00001eb211950,Zm00001eb211960"
GRMZM2G110881	"Zm00001eb211900,Zm00001eb211910,Zm00001eb211920,Zm00001eb211930,Zm00001eb211940,Zm00001eb211950,Zm00001eb211960"
GRMZM2G410865	"Zm00001eb211900,Zm00001eb211910,Zm00001eb211920,Zm00001eb211930,Zm00001eb211940,Zm00001eb211950,Zm00001eb211960"
GRMZM2G137421	"Zm00001eb277150,Zm00001eb277160,Zm00001eb277130,Zm00001eb277180"
GRMZM2G045686	"Zm00001eb277150,Zm00001eb277160,Zm00001eb277130,Zm00001eb277180"
GRMZM2G347457	"Zm00001eb277150,Zm00001eb277160,Zm00001eb277130,Zm00001eb277180"
GRMZM2G327050	"Zm00001eb277150,Zm00001eb277160,Zm00001eb277130,Zm00001eb277180"
GRMZM2G032555	"Zm00001eb277150,Zm00001eb277160,Zm00001eb277130,Zm00001eb277180"
GRMZM2G057778	Zm00001eb002100
GRMZM2G180951	Zm00001eb002100
GRMZM2G341918	Zm00001eb002100
GRMZM2G312165	Zm00001eb047670
AC214267.3_FG010	Zm00001eb047670
AC214267.3_FG004	Zm00001eb047670
GRMZM2G108410	Zm00001eb047670
GRMZM2G387755	"Zm00001eb109250,Zm00001eb207200,Zm00001eb207180,Zm00001eb207160,Zm00001eb207170,Zm00001eb207190"
GRMZM2G092627	"Zm00001eb208170,Zm00001eb208180,Zm00001eb208190"
AC205324.3_FG003	"Zm00001eb208170,Zm00001eb208180,Zm00001eb208190"
GRMZM2G139341	"Zm00001eb208170,Zm00001eb208180,Zm00001eb208190"
GRMZM2G023105	"Zm00001eb286660,Zm00001eb286690,Zm00001eb286700,Zm00001eb286670"
GRMZM2G136236	"Zm00001eb286660,Zm00001eb286690,Zm00001eb286700,Zm00001eb286670"
GRMZM2G118697	Zm00001eb086790
GRMZM2G453879	Zm00001eb086790
GRMZM2G154811	Zm00001eb086790
GRMZM2G455115	Zm00001eb086790
GRMZM2G156110	"Zm00001eb116850,Zm00001eb116860"
GRMZM2G703442	"Zm00001eb116850,Zm00001eb116860"
GRMZM2G380341	"Zm00001eb116850,Zm00001eb116860"
GRMZM2G080222	"Zm00001eb116850,Zm00001eb116860"
GRMZM2G012600	"Zm00001eb137620,Zm00001eb137680,Zm00001eb137670,Zm00001eb137630"
GRMZM2G047362	"Zm00001eb137620,Zm00001eb137680,Zm00001eb137670,Zm00001eb137630"
GRMZM2G347655	"Zm00001eb137620,Zm00001eb137680,Zm00001eb137670,Zm00001eb137630"
AC192367.2_FG002	Zm00001eb176750
AC197714.3_FG004	Zm00001eb176750
GRMZM5G838140	Zm00001eb176750
GRMZM2G163813	"Zm00001eb207010,Zm00001eb207030,Zm00001eb207040,Zm00001eb207020"
GRMZM2G052902	"Zm00001eb207010,Zm00001eb207030,Zm00001eb207040,Zm00001eb207020"
GRMZM2G025959	"Zm00001eb265900,Zm00001eb265890"
GRMZM2G050412	"Zm00001eb265900,Zm00001eb265890"
GRMZM2G163406	"Zm00001eb265900,Zm00001eb265890"
GRMZM2G464107	"Zm00001eb265900,Zm00001eb265890"
GRMZM2G038449	"Zm00001eb322130,Zm00001eb322140"
GRMZM2G163045	"Zm00001eb322130,Zm00001eb322140"
GRMZM2G163095	"Zm00001eb322130,Zm00001eb322140"
GRMZM2G350628	Zm00001eb345290
GRMZM2G350684	Zm00001eb345290
GRMZM2G018048	Zm00001eb345290
GRMZM2G316740	Zm00001eb345290
GRMZM2G018142	Zm00001eb345290
GRMZM2G010823	"Zm00001eb016240,Zm00001eb016250,Zm00001eb016260"
GRMZM2G011025	"Zm00001eb016240,Zm00001eb016250,Zm00001eb016260"
AC204306.3_FG007	"Zm00001eb016240,Zm00001eb016250,Zm00001eb016260"
GRMZM2G311182	"Zm00001eb016240,Zm00001eb016250,Zm00001eb016260"
GRMZM2G011240	"Zm00001eb016240,Zm00001eb016250,Zm00001eb016260"
AC199961.4_FG001	"Zm00001eb432870,Zm00001eb432880,Zm00001eb432890"
GRMZM2G008611	"Zm00001eb432870,Zm00001eb432880,Zm00001eb432890"
GRMZM2G135002	"Zm00001eb116670,Zm00001eb116680,Zm00001eb116690"
AC196710.3_FG013	"Zm00001eb116670,Zm00001eb116680,Zm00001eb116690"
GRMZM2G437445	"Zm00001eb116670,Zm00001eb116680,Zm00001eb116690"
GRMZM2G083000	"Zm00001eb116670,Zm00001eb116680,Zm00001eb116690"
GRMZM2G107109	"Zm00001eb191790,Zm00001eb191810"
GRMZM2G140524	"Zm00001eb191790,Zm00001eb191810"
GRMZM2G171163	"Zm00001eb191790,Zm00001eb191810"
GRMZM5G893864	"Zm00001eb233590,Zm00001eb233600,Zm00001eb233610"
GRMZM2G346693	"Zm00001eb233590,Zm00001eb233600,Zm00001eb233610"
GRMZM5G892495	"Zm00001eb233590,Zm00001eb233600,Zm00001eb233610"
GRMZM2G115280	"Zm00001eb233590,Zm00001eb233600,Zm00001eb233610"
GRMZM2G102891	"Zm00001eb344440,Zm00001eb344460"
GRMZM2G119809	"Zm00001eb344440,Zm00001eb344460"
GRMZM2G164129	"Zm00001eb344440,Zm00001eb344460"
GRMZM2G105712	"Zm00001eb344440,Zm00001eb344460"
GRMZM5G870184	"Zm00001eb165090,Zm00001eb165120,Zm00001eb165100,Zm00001eb165160,Zm00001eb165140"
GRMZM5G815098	"Zm00001eb165090,Zm00001eb165120,Zm00001eb165100,Zm00001eb165160,Zm00001eb165140"
GRMZM5G847669	"Zm00001eb165090,Zm00001eb165120,Zm00001eb165100,Zm00001eb165160,Zm00001eb165140"
GRMZM2G033348	"Zm00001eb260890,Zm00001eb260910"
GRMZM2G331088	"Zm00001eb260890,Zm00001eb260910"
GRMZM2G380456	"Zm00001eb260890,Zm00001eb260910"
GRMZM2G563728	"Zm00001eb260890,Zm00001eb260910"
GRMZM2G563732	"Zm00001eb260890,Zm00001eb260910"
AC194898.3_FG003	Zm00001eb340940
GRMZM2G035395	Zm00001eb340940
GRMZM2G099657	"Zm00001eb401700,Zm00001eb401710"
GRMZM2G380152	"Zm00001eb401700,Zm00001eb401710"
GRMZM2G128740	"Zm00001eb401700,Zm00001eb401710"
GRMZM2G068071	Zm00001eb419780
GRMZM2G701546	Zm00001eb419780
GRMZM2G122550	Zm00001eb419780
GRMZM2G122532	Zm00001eb419780
GRMZM2G338493	Zm00001eb419780
GRMZM2G008649	Zm00001eb089840
GRMZM5G812860	Zm00001eb089840
GRMZM2G076798	Zm00001eb089840
GRMZM2G058105	"Zm00001eb103610,Zm00001eb103660,Zm00001eb103650,Zm00001eb103630"
GRMZM2G350658	"Zm00001eb103610,Zm00001eb103660,Zm00001eb103650,Zm00001eb103630"
GRMZM2G050714	"Zm00001eb103610,Zm00001eb103660,Zm00001eb103650,Zm00001eb103630"
GRMZM2G012030	"Zm00001eb222880,Zm00001eb222900,Zm00001eb222910,Zm00001eb222890"
GRMZM2G313649	"Zm00001eb222880,Zm00001eb222900,Zm00001eb222910,Zm00001eb222890"
GRMZM2G115578	"Zm00001eb222880,Zm00001eb222900,Zm00001eb222910,Zm00001eb222890"
GRMZM2G107116	Zm00001eb281130
GRMZM2G457789	Zm00001eb281130
GRMZM2G018417	"Zm00001eb003040,Zm00001eb003050,Zm00001eb003060,Zm00001eb003070"
GRMZM2G018410	"Zm00001eb003040,Zm00001eb003050,Zm00001eb003060,Zm00001eb003070"
GRMZM2G103599	"Zm00001eb003550,Zm00001eb003560,Zm00001eb003570"
GRMZM2G170567	"Zm00001eb003550,Zm00001eb003560,Zm00001eb003570"
GRMZM2G113239	"Zm00001eb003550,Zm00001eb003560,Zm00001eb003570"
GRMZM2G113174	"Zm00001eb003550,Zm00001eb003560,Zm00001eb003570"
GRMZM2G129872	"Zm00001eb014320,Zm00001eb014430,Zm00001eb014370"
GRMZM2G064597	"Zm00001eb014320,Zm00001eb014430,Zm00001eb014370"
GRMZM2G111990	"Zm00001eb014320,Zm00001eb014430,Zm00001eb014370"
GRMZM2G112263	"Zm00001eb014320,Zm00001eb014430,Zm00001eb014370"
GRMZM2G329040	"Zm00001eb014950,Zm00001eb014960,Zm00001eb014970"
GRMZM2G703565	"Zm00001eb014950,Zm00001eb014960,Zm00001eb014970"
GRMZM2G008490	"Zm00001eb014950,Zm00001eb014960,Zm00001eb014970"
AC208571.4_FG001	"Zm00001eb014950,Zm00001eb014960,Zm00001eb014970"
GRMZM2G007681	"Zm00001eb035080,Zm00001eb035130,Zm00001eb035110,Zm00001eb035120"
GRMZM2G107645	"Zm00001eb058490,Zm00001eb058500"
GRMZM2G107688	"Zm00001eb058490,Zm00001eb058500"
GRMZM2G107689	"Zm00001eb058490,Zm00001eb058500"
GRMZM2G174638	"Zm00001eb058490,Zm00001eb058500"
GRMZM2G037617	"Zm00001eb058490,Zm00001eb058500"
AC206259.3_FG003	Zm00001eb062420
AC206259.3_FG002	Zm00001eb062420
GRMZM2G409839	Zm00001eb062420
GRMZM2G405690	Zm00001eb062420
GRMZM2G127087	"Zm00001eb412960,Zm00001eb412980,Zm00001eb412970"
GRMZM2G160473	Zm00001eb426330
GRMZM2G024466	Zm00001eb426330
GRMZM2G050882	Zm00001eb426330
GRMZM2G117572	"Zm00001eb105250,Zm00001eb105260,Zm00001eb105230,Zm00001eb105270,Zm00001eb105240"
GRMZM2G417715	"Zm00001eb105250,Zm00001eb105260,Zm00001eb105230,Zm00001eb105270,Zm00001eb105240"
GRMZM2G385635	"Zm00001eb105250,Zm00001eb105260,Zm00001eb105230,Zm00001eb105270,Zm00001eb105240"
GRMZM2G385622	"Zm00001eb105250,Zm00001eb105260,Zm00001eb105230,Zm00001eb105270,Zm00001eb105240"
GRMZM2G172710	Zm00001eb141670
GRMZM2G471367	Zm00001eb141670
GRMZM2G179332	Zm00001eb141670
GRMZM2G125012	Zm00001eb141670
GRMZM2G024858	Zm00001eb141670
GRMZM2G022841	Zm00001eb162890
GRMZM2G084802	Zm00001eb162890
GRMZM2G353272	Zm00001eb166950
GRMZM2G053120	Zm00001eb166950
GRMZM2G059620	Zm00001eb166950
AC185466.3_FG001	"Zm00001eb194380,Zm00001eb194400"
GRMZM2G579509	"Zm00001eb194380,Zm00001eb194400"
GRMZM2G461230	"Zm00001eb194380,Zm00001eb194400"
GRMZM2G161553	"Zm00001eb194380,Zm00001eb194400"
GRMZM2G165815	"Zm00001eb265510,Zm00001eb265500,Zm00001eb265550,Zm00001eb265540,Zm00001eb265530"
GRMZM2G020091	"Zm00001eb265510,Zm00001eb265500,Zm00001eb265550,Zm00001eb265540,Zm00001eb265530"
GRMZM2G313448	"Zm00001eb265510,Zm00001eb265500,Zm00001eb265550,Zm00001eb265540,Zm00001eb265530"
GRMZM2G364366	
GRMZM2G053653	
GRMZM5G859388	
GRMZM5G852325	
AC203761.3_FG002	Zm00001eb380580
GRMZM5G883025	Zm00001eb380580
AC220924.2_FG004	Zm00001eb380580
GRMZM5G847520	Zm00001eb380580
GRMZM5G894110	Zm00001eb380580
GRMZM2G064841	"Zm00001eb007180,Zm00001eb007190"
GRMZM2G464510	"Zm00001eb007180,Zm00001eb007190"
GRMZM2G417410	Zm00001eb029610
GRMZM2G417451	Zm00001eb029610
GRMZM2G552644	Zm00001eb029610
GRMZM2G417496	Zm00001eb029610
GRMZM2G704020	Zm00001eb053420
GRMZM2G101856	Zm00001eb053420
GRMZM2G022997	Zm00001eb053420
